festival,year,attendance,notes
Tomorrowland,2005,10000,"~10,000"
Tomorrowland,2006,15000,"15,000"
Tomorrowland,2007,20000,"20,000"
Tomorrowland,2008,50000,"50,000"
Tomorrowland,2009,90000,"90,000"
Tomorrowland,2010,180000,"180,000"
Tomorrowland,2011,180000,"180,000"
Tomorrowland,2012,270000,"270,000"
Tomorrowland,2013,270000,"270,000"
Tomorrowland,2014,540000,"540,000"
Tomorrowland,2015,180000,"180,000"
Tomorrowland,2016,180000,"180,000"
Tomorrowland,2017,400000,"400,000"
Tomorrowland,2018,400000,"400,000"
Tomorrowland,2019,400000,"400,000"
Tomorrowland,2022,600000,"600,000"
Tomorrowland,2023,400000,"400,000"
Tomorrowland,2024,400000,"400,000"
Tomorrowland,2025,400000,"400,000"
Ultra Music Festival,1999,10000,
Ultra Music Festival,2000,10000,
Ultra Music Festival,2001,21000,
Ultra Music Festival,2002,21500,
Ultra Music Festival,2003,25000,
Ultra Music Festival,2004,35000,
Ultra Music Festival,2005,48000,
Ultra Music Festival,2006,48000,
Ultra Music Festival,2007,50000,
Ultra Music Festival,2008,70000,
Ultra Music Festival,2009,85000,
Ultra Music Festival,2010,93000,
Ultra Music Festival,2011,100000,
Ultra Music Festival,2012,165000,
Ultra Music Festival,2013,330000,
Ultra Music Festival,2014,165000,
Ultra Music Festival,2015,165000,
Ultra Music Festival,2016,165000,
Ultra Music Festival,2017,165000,
Ultra Music Festival,2018,165000,
Ultra Music Festival,2019,170000,
Ultra Music Festival,2023,165000,
Ultra Music Festival,2024,165000,
