similarity,shared_words,east_text,east_source,west_text,west_source
0.974,"strength, weakness",Strength is of weakness oft the spoil; The store in ruins mocks our toil.,Tao Te Ching — Ch. 29,Our strength grows out of our weakness.,"Essays, First Series — Compensation"
0.958,"action, then","Ceaseless in its action, it yet cannot be named, and then it again returns and becomes nothing.",Tao Te Ching — Ch. 14,He will then see prayer in all action.,"Essays, First Series — Self-Reliance"
0.955,"but, use","Clay is fashioned into vessels; but it is on their empty hollowness, that their use depends.",Tao Te Ching — Ch. 11,"I would have them where I can find them, but I seldom use them.","Essays, First Series — Friendship"
0.952,"have, use","Though they had boats and carriages, they should have no occasion to ride in them; though they had buff coats and sharp weapons, they should have no occasion to don or use them.",Tao Te Ching — Ch. 80,"I would have them where I can find them, but I seldom use them.","Essays, First Series — Friendship"
0.934,"know, men","It is because they do not know these, that men do not know me.",Tao Te Ching — Ch. 70,Most men do not know that any nation but the Hebrews have had a scripture.,Walden — Reading
0.934,"like, sage",Therefore the sage is (like) a square which cuts no one (with its angles); (like) a corner which injures no one (with its sharpness).,Tao Te Ching — Ch. 58,"Cultivate poverty like a garden herb, like sage.",Walden — Conclusion
0.928,"kingdom, men","Employ it the kingdom o'er, And men thrive all around.",Tao Te Ching — Ch. 54,The men we call greatest are least in this kingdom.,"Essays, First Series — Prudence"
0.906,"mind, state",My mind is that of a stupid man; I am in a state of chaos.,Tao Te Ching — Ch. 20,All the secrets of that state of mind he can compel.,"Essays, First Series — Spiritual Laws"
0.904,"strong, weak",The soft overcomes the hard; and the weak the strong.,Tao Te Ching — Ch. 36,"It is as easy for the strong man to be strong, as it is for the weak to be weak.","Essays, First Series — Self-Reliance"
0.901,"there, way","This is the way, there is no other that leads to the purifying of intelligence.",Dhammapada — Ch. XX The Way,"There is but one way to obtain it, yet few take that way.",Walden — The Ponds
0.9,"art, come, hast","Thou art now like a sear leaf, the messengers of death (Yama) have come near to thee; thou standest at the door of thy departure, and thou hast no provision for thy journey.",Dhammapada — Ch. XVIII Impurity,"Thou hast come to me lately, and already thou art seizing thy hat and cloak.","Essays, First Series — Friendship"
0.892,"impurity, purity","Purity and impurity belong to oneself, no one can purify another.",Dhammapada — Ch. XII Self,By turns our purity inspires and our impurity casts us down.,Walden — Higher Laws
0.887,"but, truth","They who imagine truth in untruth, and see untruth in truth, never arrive at truth, but follow vain desires.",Dhammapada — Ch. I The Twin-Verses,"We all but apprehend, we dimly forebode the truth.","Essays, First Series — Intellect"
0.884,"know, think",To know and yet (think) we do not know is the highest (attainment); not to know (and yet think) we do know is a disease.,Tao Te Ching — Ch. 71,It is the harder because you will always find those who think they know what is your duty better than you know it.,"Essays, First Series — Self-Reliance"
0.865,"earth, heaven",May not the space between heaven and earth be compared to a bellows?,Tao Te Ching — Ch. 5,“How vast and profound is the influence of the subtile powers of Heaven and of Earth!”,Walden — Solitude
0.859,"strong, weak","Therefore the place of what is firm and strong is below, and that of what is soft and weak is above.",Tao Te Ching — Ch. 76,"It is as easy for the strong man to be strong, as it is for the weak to be weak.","Essays, First Series — Self-Reliance"
0.858,"strength, weakness",Strength is of weakness oft the spoil; The store in ruins mocks our toil.,Tao Te Ching — Ch. 29,Nature is as well adapted to our weakness as to our strength.,Walden — Economy
0.855,"evil, work",He mourns and suffers when he sees the evil of his own work.,Dhammapada — Ch. I The Twin-Verses,"Regret calamities if you can thereby help the sufferer; if not, attend your own work and already the evil begins to be repaired.","Essays, First Series — Self-Reliance"
0.855,"appear, new",It is through their not being full of themselves that they can afford to seem worn and not appear new and complete.,Tao Te Ching — Ch. 15,"Though no checks to a new evil appear, the checks exist, and will appear.","Essays, First Series — Compensation"
0.854,"earth, heaven","There was something undefined and complete, coming into existence before Heaven and Earth.",Tao Te Ching — Ch. 25,“How vast and profound is the influence of the subtile powers of Heaven and of Earth!”,Walden — Solitude
0.853,"man, strong, weak","Man at his birth is supple and weak; at his death, firm and strong.",Tao Te Ching — Ch. 76,"It is as easy for the strong man to be strong, as it is for the weak to be weak.","Essays, First Series — Self-Reliance"
0.851,"strong, weak",The soft overcomes the hard; and the weak the strong.,Tao Te Ching — Ch. 36,Every man is actually weak and apparently strong.,"Essays, First Series — Prudence"
0.849,"complacency, self","He is free from self-display, and therefore he shines; from self-assertion, and therefore he is distinguished; from self-boasting, and therefore his merit is acknowledged; from self-complacency, and therefore he acquires superiority.",Tao Te Ching — Ch. 22,Consider the China pride and stagnant self-complacency of mankind.,Walden — Conclusion
0.849,"strength, weakness",Strength is of weakness oft the spoil; The store in ruins mocks our toil.,Tao Te Ching — Ch. 29,"Meantime, as life wears on, it proves a game of permutation and combination of all possible positions of the parties, to employ all the resources of each and acquaint each with the strength and weakness of the other.","Essays, First Series — Love"
0.848,"man, strong, weak","Man at his birth is supple and weak; at his death, firm and strong.",Tao Te Ching — Ch. 76,Every man is actually weak and apparently strong.,"Essays, First Series — Prudence"
0.845,"hand, left, right","On occasions of festivity to be on the left hand is the prized position; on occasions of mourning, the right hand.",Tao Te Ching — Ch. 31,"If you should ever be betrayed into any of these philanthropies, do not let your left hand know what your right hand does, for it is not worth knowing.",Walden — Economy
0.837,"shall, world",Silently shall I endure abuse as the elephant in battle endures the arrow sent from the bow: for the world is ill-natured.,Dhammapada — Ch. XXIII The Elephant,"Absolve you to yourself, and you shall have the suffrage of the world.","Essays, First Series — Self-Reliance"
0.834,"art, come, hast","Thy life has come to an end, thou art come near to death (Yama), there is no resting-place for thee on the road, and thou hast no provision for thy journey.",Dhammapada — Ch. XVIII Impurity,"Thou hast come to me lately, and already thou art seizing thy hat and cloak.","Essays, First Series — Friendship"
0.828,"hand, left, right",It may be found on the left hand and on the right.,Tao Te Ching — Ch. 34,"If you should ever be betrayed into any of these philanthropies, do not let your left hand know what your right hand does, for it is not worth knowing.",Walden — Economy
0.815,"shall, world",Silently shall I endure abuse as the elephant in battle endures the arrow sent from the bow: for the world is ill-natured.,Dhammapada — Ch. XXIII The Elephant,Shall the world be confined to one Paris or one Oxford forever?,Walden — Reading
0.814,"highest, water",The highest excellence is like (that of) water.,Tao Te Ching — Ch. 8,His highest duty to fodder and water his horses!,Walden — Economy
0.812,"cannot, subject","With these three qualities, it cannot be made the subject of description; and hence we blend them together and obtain The One.",Tao Te Ching — Ch. 14,"Economy is a subject which admits of being treated with levity, but it cannot so be disposed of.",Walden — Economy
0.812,"seen, state","The neighbourhood where it prevails In thriving will abound; And when 'tis seen throughout the state, Good fortune will be found.",Tao Te Ching — Ch. 54,"Though seen but once, it helps to wash out State-street and the engine’s soot.",Walden — The Ponds
0.81,"spring, there, things","All things spring up, and there is not one which declines to show itself; they grow, and there is no claim made for their ownership; they go through their processes, and there is no expectation (of a reward for the results).",Tao Te Ching — Ch. 2,"Thus there is no sleep, no pause, no preservation, but all things renew, germinate and spring.","Essays, First Series — Circles"
0.808,"place, there","Whatever place a faithful, virtuous, celebrated, and wealthy man chooses, there he is respected.",Dhammapada — Ch. XXI Miscellaneous,There is something electrifying in the atmosphere of the former place.,Walden — Sounds
0.804,"light, think",It is this which makes them think light of dying.,Tao Te Ching — Ch. 75,"(_Lepus_, _levipes_, light-foot, some think.)",Walden — Winter Animals
0.802,"free, speech","Much speech to swift exhaustion lead we see; Your inner being guard, and keep it free.",Tao Te Ching — Ch. 5,"This town is said to have the largest houses for oxen, cows, and horses hereabouts, and it is not behindhand in its public buildings; but there are very few halls for free worship or free speech in this county.",Walden — Economy
0.801,"has, point","If you keep feeling a point that has been sharpened, the point cannot long preserve its sharpness.",Tao Te Ching — Ch. 9,"The reader will perceive that I am treating the subject rather from an economic than a dietetic point of view, and he will not venture to put my abstemiousness to the test unless he has a well-stocked larder.",Walden — Economy
0.795,"called, degree",This is called 'The utmost degree of mystery.',Tao Te Ching — Ch. 27,Men of almost every degree of wit called on me in the migrating season.,Walden — Visitors
0.792,"heaven, here, world","This world is dark, few only can see here; a few only go to heaven, like birds escaped from the net.",Dhammapada — Ch. XIII The World,"Thank Heaven, here is not all the world.",Walden — Conclusion
0.789,"art, away","When thy impurities are blown away, and thou art free from guilt, thou wilt not enter again into birth and decay.",Dhammapada — Ch. XVIII Impurity,"If he is unequal he will presently pass away; but thou art enlarged by thy own shining, and no longer a mate for frogs and worms, dost soar and burn with the gods of the empyrean.","Essays, First Series — Friendship"
0.771,"bad, evil","Bad conduct is the taint of woman, greediness the taint of a benefactor; tainted are all evil ways in this world and in the next.",Dhammapada — Ch. XVIII Impurity,We see our evil affections embodied in bad physiognomies.,"Essays, First Series — Spiritual Laws"
0.771,"death, relations","Sons are no help, nor a father, nor relations; there is no help from kinsfolk for one whom death has seized.",Dhammapada — Ch. XX The Way,It is for aid and comfort through all the relations and passages of life and death.,"Essays, First Series — Friendship"
0.766,"art, truth","Speak the truth, do not yield to anger; give, if thou art asked for little; by these three steps thou wilt go near the gods.",Dhammapada — Ch. XVII Anger,"Thou art not Being, as Truth is, as Justice is,—thou art not my soul, but a picture and effigy of that.","Essays, First Series — Friendship"
0.766,"better, good","Mules are good, if tamed, and noble Sindhu horses, and elephants with large tusks; but he who tames himself is better still.",Dhammapada — Ch. XXIII The Elephant,"Good as is discourse, silence is better, and shames it.","Essays, First Series — Circles"
0.757,"but, truth","They who imagine truth in untruth, and see untruth in truth, never arrive at truth, but follow vain desires.",Dhammapada — Ch. I The Twin-Verses,"When we discern justice, when we discern truth, we do nothing of ourselves, but allow a passage to its beams.","Essays, First Series — Self-Reliance"
0.755,"earth, lying","Not nakedness, not platted hair, not dirt, not fasting, or lying on the earth, not rubbing with dust, not sitting motionless, can purify a mortal who has not overcome desires.",Dhammapada — Ch. X Punishment,"Lying between the earth and the heavens, it partakes of the color of both.",Walden — The Ponds
0.749,"evil, sees","Even an evil-doer sees happiness as long as his evil deed has not ripened; but when his evil deed has ripened, then does the evil-doer see evil.",Dhammapada — Ch. IX Evil,"The good, compared to the evil which he sees, is as his own good to his own evil.","Essays, First Series — Spiritual Laws"
0.746,"but, good","The brilliant chariots of kings are destroyed, the body also approaches destruction, but the virtue of good people never approaches destruction,--thus do the good say to the good.",Dhammapada — Ch. XI Old Age,"We should be as good as the worthies of antiquity, but partly by first knowing how good they were.",Walden — Reading
0.745,"face, man, must","That deed is not well done of which a man must repent, and the reward of which he receives crying and with a tearful face.",Dhammapada — Ch. V The Fool,And therefore a man must know how to estimate a sour face.,"Essays, First Series — Self-Reliance"
0.743,"dead, die","Those who are in earnest do not die, those who are thoughtless are as if dead already.",Dhammapada — Ch. II On Earnestness,"The amount of it is, if a man is alive, there is always _danger_ that he may die, though the danger must be allowed to be less in proportion as he is dead-and-alive to begin with.",Walden — Visitors
0.74,"day, night, rest","He in whom that feeling is destroyed, and taken out with the very root, finds rest by day and by night.",Dhammapada — Ch. XVIII Impurity,"Then there is least somnolence in us; and for an hour, at least, some part of us awakes which slumbers all the rest of the day and night.","Walden — Where I Lived, and What I Lived For"
0.739,"good, man","Even a good man sees evil days, as long as his good deed has not ripened; but when his good deed has ripened, then does the good man see happy days.",Dhammapada — Ch. IX Evil,"The man finishes his story,—how good!","Essays, First Series — Circles"
0.733,"after, follow","Follow not after vanity, nor after the enjoyment of love and lust!",Dhammapada — Ch. II On Earnestness,"The specific stripes may follow late after the offence, but they follow because they accompany it.","Essays, First Series — Compensation"
0.725,"evil, men",Many men whose shoulders are covered with the yellow gown are ill-conditioned and unrestrained; such evil-doers by their evil deeds go to hell.,Dhammapada — Ch. XXII The Downward Course,“The evil that men do lives after them.”,Walden — Economy
0.708,"does, know","The world does not know that we must all come to an end here;--but those who know it, their quarrels cease at once.",Dhammapada — Ch. I The Twin-Verses,Does Mr. Grinnell know where he himself is?,Walden — Conclusion
0.707,"life, live","Life is easy to live for a man who is without shame, a crow hero, a mischief-maker, an insulting, bold, and wretched fellow.",Dhammapada — Ch. XVIII Impurity,Why should we live with such hurry and waste of life?,"Walden — Where I Lived, and What I Lived For"
0.704,"bright, day","The sun is bright by day, the moon shines by night, the warrior is bright in his armour, the Brahmana is bright in his meditation; but Buddha, the Awakened, is bright with splendour day and night.",Dhammapada — Ch. XXVI The Brahmana (Arhat),"to keep bright the devil’s door-knobs, and scour his tubs this bright day!",Walden — Brute Neighbors
0.7,"know, long",Long is the night to him who is awake; long is a mile to him who is tired; long is life to the foolish who do not know the true law.,Dhammapada — Ch. V The Fool,"He had long ago bought a potter’s wheel of him, and wished to know what had become of him.",Walden — Former Inhabitants and Winter Visitors
0.69,"cut, forest","Cut down the whole forest (of lust), not a tree only!",Dhammapada — Ch. XX The Way,"If the forest is cut off, the sprouts and bushes which spring up afford them concealment, and they become more numerous than ever.",Walden — Winter Animals
