unit_id,work,tradition,section,sub_id,sent_idx,text,n_words
0,Tao Te Ching,East,Ch. 1,1,0.0,The Tao that can be trodden is not the enduring and unchanging Tao.,13
1,Tao Te Ching,East,Ch. 1,1,0.1,The name that can be named is not the enduring and unchanging name.,13
2,Tao Te Ching,East,Ch. 1,1,0.2,"(Conceived of as) having no name, it is the Originator of heaven and earth; (conceived of as) having a name, it is the Mother of all things.",27
3,Tao Te Ching,East,Ch. 1,1,0.3,"Always without desire we must be found, If its deep mystery we would sound; But if desire always within us be, Its outer fringe is all that we shall see.",30
4,Tao Te Ching,East,Ch. 1,1,0.4,"Under these two aspects, it is really the same; but as development takes place, it receives the different names.",19
5,Tao Te Ching,East,Ch. 1,1,0.5,Together we call them the Mystery.,6
6,Tao Te Ching,East,Ch. 1,1,0.6,Where the Mystery is the deepest is the gate of all that is subtle and wonderful.,16
7,Tao Te Ching,East,Ch. 2,2,0.0,"All in the world know the beauty of the beautiful, and in doing this they have (the idea of) what ugliness is; they all know the skill of the skilful, and in doing this they have (the idea of) what the want of skill is.",45
8,Tao Te Ching,East,Ch. 2,2,0.1,"Therefore the sage manages affairs without doing anything, and conveys his instructions without the use of speech.",17
9,Tao Te Ching,East,Ch. 2,2,0.2,"All things spring up, and there is not one which declines to show itself; they grow, and there is no claim made for their ownership; they go through their processes, and there is no expectation (of a reward for the results).",41
10,Tao Te Ching,East,Ch. 2,2,0.3,"The work is accomplished, and there is no resting in it (as an achievement).",14
11,Tao Te Ching,East,Ch. 2,2,0.4,"The work is done, but how no one can see; 'Tis this that makes the power not cease to be.",20
12,Tao Te Ching,East,Ch. 3,3,0.0,Not to value and employ men of superior ability is the way to keep the people from rivalry among themselves; not to prize articles which are difficult to procure is the way to keep them from becoming thieves; not to show them what is likely to excite their desires is the way to keep their minds from disorder.,58
13,Tao Te Ching,East,Ch. 3,3,0.1,"Therefore the sage, in the exercise of his government, empties their minds, fills their bellies, weakens their wills, and strengthens their bones.",22
14,Tao Te Ching,East,Ch. 3,3,0.2,"He constantly (tries to) keep them without knowledge and without desire, and where there are those who have knowledge, to keep them from presuming to act (on it).",28
15,Tao Te Ching,East,Ch. 3,3,0.3,"When there is this abstinence from action, good order is universal.",11
16,Tao Te Ching,East,Ch. 4,4,0.0,The Tao is (like) the emptiness of a vessel; and in our employment of it we must be on our guard against all fulness.,24
17,Tao Te Ching,East,Ch. 4,4,0.1,"How deep and unfathomable it is, as if it were the Honoured Ancestor of all things!",16
18,Tao Te Ching,East,Ch. 4,4,0.2,"We should blunt our sharp points, and unravel the complications of things; we should attemper our brightness, and bring ourselves into agreement with the obscurity of others.",27
19,Tao Te Ching,East,Ch. 4,4,0.3,"How pure and still the Tao is, as if it would ever so continue!",14
20,Tao Te Ching,East,Ch. 4,4,0.4,I do not know whose son it is.,8
21,Tao Te Ching,East,Ch. 4,4,0.5,It might appear to have been before God.,8
22,Tao Te Ching,East,Ch. 5,5,0.0,Heaven and earth do not act from (the impulse of) any wish to be benevolent; they deal with all things as the dogs of grass are dealt with.,28
23,Tao Te Ching,East,Ch. 5,5,0.1,The sages do not act from (any wish to be) benevolent; they deal with the people as the dogs of grass are dealt with.,24
24,Tao Te Ching,East,Ch. 5,5,0.2,May not the space between heaven and earth be compared to a bellows?,13
25,Tao Te Ching,East,Ch. 5,5,0.3,"'Tis emptied, yet it loses not its power; 'Tis moved again, and sends forth air the more.",17
26,Tao Te Ching,East,Ch. 5,5,0.4,"Much speech to swift exhaustion lead we see; Your inner being guard, and keep it free.",16
27,Tao Te Ching,East,Ch. 6,6,0.0,"The valley spirit dies not, aye the same; The female mystery thus do we name.",15
28,Tao Te Ching,East,Ch. 6,6,0.1,"Its gate, from which at first they issued forth, Is called the root from which grew heaven and earth.",19
29,Tao Te Ching,East,Ch. 6,6,0.2,"Long and unbroken does its power remain, Used gently, and without the touch of pain.",15
30,Tao Te Ching,East,Ch. 7,7,0.0,Heaven is long-enduring and earth continues long.,8
31,Tao Te Ching,East,Ch. 7,7,0.1,"The reason why heaven and earth are able to endure and continue thus long is because they do not live of, or for, themselves.",24
32,Tao Te Ching,East,Ch. 7,7,0.2,This is how they are able to continue and endure.,10
33,Tao Te Ching,East,Ch. 7,7,0.3,"Therefore the sage puts his own person last, and yet it is found in the foremost place; he treats his person as if it were foreign to him, and yet that person is preserved.",34
34,Tao Te Ching,East,Ch. 7,7,0.4,"Is it not because he has no personal and private ends, that therefore such ends are realised?",17
35,Tao Te Ching,East,Ch. 8,8,0.0,The highest excellence is like (that of) water.,8
36,Tao Te Ching,East,Ch. 8,8,0.1,"The excellence of water appears in its benefiting all things, and in its occupying, without striving (to the contrary), the low place which all men dislike.",26
37,Tao Te Ching,East,Ch. 8,8,0.2,Hence (its way) is near to (that of) the Tao.,10
38,Tao Te Ching,East,Ch. 8,8,0.3,"And when (one with the highest excellence) does not wrangle (about his low position), no one finds fault with him.",20
39,Tao Te Ching,East,Ch. 9,9,0.0,"It is better to leave a vessel unfilled, than to attempt to carry it when it is full.",18
40,Tao Te Ching,East,Ch. 9,9,0.1,"If you keep feeling a point that has been sharpened, the point cannot long preserve its sharpness.",17
41,Tao Te Ching,East,Ch. 9,9,0.2,"When gold and jade fill the hall, their possessor cannot keep them safe.",13
42,Tao Te Ching,East,Ch. 9,9,0.3,"When wealth and honours lead to arrogancy, this brings its evil on itself.",13
43,Tao Te Ching,East,Ch. 9,9,0.4,"When the work is done, and one's name is becoming distinguished, to withdraw into obscurity is the way of Heaven.",20
44,Tao Te Ching,East,Ch. 10,10,0.0,"When the intelligent and animal souls are held together in one embrace, they can be kept from separating.",18
45,Tao Te Ching,East,Ch. 10,10,0.1,"When one gives undivided attention to the (vital) breath, and brings it to the utmost degree of pliancy, he can become as a (tender) babe.",25
46,Tao Te Ching,East,Ch. 10,10,0.2,"When he has cleansed away the most mysterious sights (of his imagination), he can become without a flaw.",18
47,Tao Te Ching,East,Ch. 10,10,0.3,"In loving the people and ruling the state, cannot he proceed without any (purpose of) action?",16
48,Tao Te Ching,East,Ch. 10,10,0.4,"In the opening and shutting of his gates of heaven, cannot he do so as a female bird?",18
49,Tao Te Ching,East,Ch. 10,10,0.5,"While his intelligence reaches in every direction, cannot he (appear to) be without knowledge?",14
50,Tao Te Ching,East,Ch. 10,10,0.6,"(The Tao) produces (all things) and nourishes them; it produces them and does not claim them as its own; it does all, and yet does not boast of it; it presides over all, and yet does not control them.",39
51,Tao Te Ching,East,Ch. 10,10,0.7,This is what is called 'The mysterious Quality' (of the Tao).,11
52,Tao Te Ching,East,Ch. 11,11,0.0,"The thirty spokes unite in the one nave; but it is on the empty space (for the axle), that the use of the wheel depends.",25
53,Tao Te Ching,East,Ch. 11,11,0.1,"Clay is fashioned into vessels; but it is on their empty hollowness, that their use depends.",16
